id,ticker,name,exchange,country,sector,segment,listed,relations
incy,INCY,Incyte,NASDAQ,USA,medicin,Biotech & innovation,true,2
intc,INTC,Intel,NASDAQ,USA,ai,Chips & accelerators,true,10
intu,INTU,Intuit,NASDAQ,USA,ai,AI software & productivity,true,1
ionq,IONQ,IonQ,NYSE,USA,quantum,Quantum hardware & platforms,true,1
iqv,IQV,IQVIA Holdings,NYSE,USA,medicin,CDMO & pharma manufacturing,true,8
irdm,IRDM,Iridium Communications,NASDAQ,USA,forsvar,Space industry & satellites,true,1
isrg,ISRG,Intuitive Surgical,NASDAQ,USA,medicin,Medtech & devices,true,0
jnj,JNJ,Johnson & Johnson,NYSE,USA,medicin,Big pharma,true,4
jpm,JPM,JPMorgan Chase,NYSE,USA,finans,Banks,true,6
kkr,KKR,KKR,NYSE,USA,finans,Asset & alternative managers,true,2
klac,KLAC,KLA,NASDAQ,USA,ai,Semiconductor equipment & IP,true,2
ktos,KTOS,Kratos Defense,NASDAQ,USA,forsvar,Drones & autonomous systems,true,2
ldos,LDOS,Leidos,NYSE,USA,forsvar,Communications & defense data,true,0
leu,LEU,Centrus Energy,NYSE American,USA,energi,Nuclear energy & uranium,true,5
lh,LH,Labcorp,NYSE,USA,medicin,Diagnostics,true,5
lhx,LHX,L3Harris,NYSE,USA,forsvar,Defense integrators,true,2
lly,LLY,Eli Lilly,NYSE,USA,medicin,Diabetes & metabolic disease,true,9
lmt,LMT,Lockheed Martin,NYSE,USA,forsvar,Defense integrators,true,8
lrcx,LRCX,Lam Research,NASDAQ,USA,ai,Semiconductor equipment & IP,true,2
ma,MA,Mastercard,NYSE,USA,finans,Payment rails & networks,true,7
mchp,MCHP,Microchip Technology,NASDAQ,USA,ai,Chips & accelerators,true,2
mck,MCK,McKesson,NYSE,USA,medicin,Distribution & pharmacy infrastructure,true,11
mco,MCO,Moody’s,NYSE,USA,finans,Exchanges & market data,true,3
mdb,MDB,MongoDB,NASDAQ,USA,ai,"Data, analytics & enterprise AI",true,1
mdt,MDT,Medtronic,NYSE,USA,medicin,Medtech & devices,true,1
meta,META,Meta Platforms,NASDAQ,USA,ai,AI software & productivity,true,6
mod,MOD,Modine Manufacturing,NYSE,USA,ai,"Cooling, power & data center infrastructure",true,1
mpwr,MPWR,Monolithic Power,NASDAQ,USA,ai,Chips & accelerators,true,2
mrk,MRK,Merck & Co.,NYSE,USA,medicin,Big pharma,true,4
mrna,MRNA,Moderna,NASDAQ,USA,medicin,Biotech & innovation,true,1
mrvl,MRVL,Marvell,NASDAQ,USA,ai,Chips & accelerators,true,3
ms,MS,Morgan Stanley,NYSE,USA,finans,Investment banking & trading,true,3
msci,MSCI,MSCI,NYSE,USA,finans,Exchanges & market data,true,1
msft,MSFT,Microsoft,NASDAQ,USA,ai,Cloud platforms,true,21
msi,MSI,Motorola Solutions,NYSE,USA,forsvar,Dual-use technology,true,0
mtz,MTZ,MasTec,NYSE,USA,energi,Grid & electrification,true,1
mu,MU,Micron,NASDAQ,USA,ai,Chips & accelerators,true,8
nbix,NBIX,Neurocrine Biosciences,NASDAQ,USA,medicin,Biotech & innovation,true,2
ndaq,NDAQ,Nasdaq,NASDAQ,USA,finans,Exchanges & market data,true,2
nee,NEE,NextEra Energy,NYSE,USA,energi,Utilities & power producers,true,8
net,NET,Cloudflare,NYSE,USA,forsvar,Cloud security,true,1
noc,NOC,Northrop Grumman,NYSE,USA,forsvar,Defense integrators,true,7
now,NOW,ServiceNow,NYSE,USA,ai,AI software & productivity,true,1
nrg,NRG,NRG Energy,NYSE,USA,energi,Utilities & power producers,true,1
ntap,NTAP,NetApp,NASDAQ,USA,ai,Data centers,true,1
ntra,NTRA,Natera,NASDAQ,USA,medicin,Diagnostics,true,2
nvda,NVDA,Nvidia,NASDAQ,USA,ai,Chips & accelerators,true,18
oklo,OKLO,Oklo,NYSE,USA,energi,Nuclear energy & uranium,true,1
okta,OKTA,Okta,NASDAQ,USA,forsvar,Identity & access management,true,1
on,ON,ON Semiconductor,NASDAQ,USA,ai,Chips & accelerators,true,2
orcl,ORCL,Oracle,NYSE,USA,ai,Cloud platforms,true,2
panw,PANW,Palo Alto Networks,NASDAQ,USA,forsvar,Network security,true,0
pfe,PFE,Pfizer,NYSE,USA,medicin,Big pharma,true,8
pltr,PLTR,Palantir,NASDAQ,USA,ai,"Data, analytics & enterprise AI",true,1
pnc,PNC,PNC Financial,NYSE,USA,finans,Banks,true,2
podd,PODD,Insulet,NASDAQ,USA,medicin,Diabetes & metabolic disease,true,1
pstg,PSTG,Pure Storage,NYSE,USA,ai,Data centers,true,1
pwr,PWR,Quanta Services,NYSE,USA,energi,Grid & electrification,true,6
pypl,PYPL,PayPal,NASDAQ,USA,finans,Payment rails & networks,true,2
qbts,QBTS,D-Wave Quantum,NYSE,Canada,quantum,Quantum hardware & platforms,true,1
qcom,QCOM,Qualcomm,NASDAQ,USA,ai,Chips & accelerators,true,5
qlys,QLYS,Qualys,NASDAQ,USA,forsvar,Vulnerability management,true,0
qubt,QUBT,Quantum Computing Inc.,NASDAQ,USA,quantum,Quantum hardware & platforms,true,0
rbrk,RBRK,Rubrik,NYSE,USA,forsvar,Incident response & recovery,true,0
regn,REGN,Regeneron,NASDAQ,USA,medicin,Biotech & innovation,true,4
rgti,RGTI,Rigetti Computing,NASDAQ,USA,quantum,Quantum hardware & platforms,true,1
rklb,RKLB,Rocket Lab,NASDAQ,USA,forsvar,Space industry & satellites,true,1
rmd,RMD,ResMed,NYSE,USA,medicin,Medtech & devices,true,1
rok,ROK,Rockwell Automation,NYSE,USA,energi,Power equipment,true,1
rpd,RPD,Rapid7,NASDAQ,USA,forsvar,Vulnerability management,true,0
rtx,RTX,RTX,NYSE,USA,forsvar,Defense integrators,true,8
rvty,RVTY,Revvity,NYSE,USA,medicin,Life science tools,true,1
s,S,SentinelOne,NYSE,USA,forsvar,Endpoint security,true,0
schw,SCHW,Charles Schwab,NYSE,USA,finans,Brokers & fintech,true,4
smci,SMCI,Super Micro,NASDAQ,USA,ai,Data centers,true,2
smr,SMR,NuScale Power,NYSE,USA,energi,Nuclear energy & uranium,true,1
snow,SNOW,Snowflake,NYSE,USA,ai,"Data, analytics & enterprise AI",true,2
snps,SNPS,Synopsys,NASDAQ,USA,ai,Semiconductor equipment & IP,true,5
so,SO,Southern Company,NYSE,USA,energi,Utilities & power producers,true,4
spacex,,SpaceX,,USA,forsvar,Space industry & satellites,false,4
spgi,SPGI,S&P Global,NYSE,USA,finans,Exchanges & market data,true,9
stx,STX,Seagate,NASDAQ,USA,ai,Chips & accelerators,true,2
syk,SYK,Stryker,NYSE,USA,medicin,Medtech & devices,true,1
tdg,TDG,TransDigm Group,NYSE,USA,forsvar,Dual-use technology,true,4
tdy,TDY,Teledyne Technologies,NYSE,USA,forsvar,Dual-use technology,true,9
tenb,TENB,Tenable,NASDAQ,USA,forsvar,Vulnerability management,true,0
ter,TER,Teradyne,NASDAQ,USA,ai,Semiconductor equipment & IP,true,3
tln,TLN,Talen Energy,NASDAQ,USA,energi,Utilities & power producers,true,2
tmo,TMO,Thermo Fisher Scientific,NYSE,USA,medicin,Life science tools,true,6
tsla,TSLA,Tesla,NASDAQ,USA,ai,AI software & productivity,true,3
txn,TXN,Texas Instruments,NASDAQ,USA,ai,Chips & accelerators,true,2
txt,TXT,Textron,NYSE,USA,forsvar,Military platforms,true,3
unh,UNH,UnitedHealth,NYSE,USA,medicin,Distribution & pharmacy infrastructure,true,3
usb,USB,U.S. Bancorp,NYSE,USA,finans,Banks,true,2
uthr,UTHR,United Therapeutics,NASDAQ,USA,medicin,Biotech & innovation,true,3
v,V,Visa,NYSE,USA,finans,Payment rails & networks,true,9
vrns,VRNS,Varonis Systems,NASDAQ,USA,forsvar,Data security,true,0
vrt,VRT,Vertiv,NYSE,USA,ai,"Cooling, power & data center infrastructure",true,6
vrtx,VRTX,Vertex Pharmaceuticals,NASDAQ,USA,medicin,Biotech & innovation,true,3
vsat,VSAT,Viasat,NASDAQ,USA,forsvar,Space industry & satellites,true,1
vst,VST,Vistra,NYSE,USA,energi,Utilities & power producers,true,3
wat,WAT,Waters Corporation,NYSE,USA,medicin,Life science tools,true,2
wday,WDAY,Workday,NASDAQ,USA,ai,AI software & productivity,true,1
wdc,WDC,Western Digital,NASDAQ,USA,ai,Chips & accelerators,true,2
wfc,WFC,Wells Fargo,NYSE,USA,finans,Banks,true,3
wst,WST,West Pharmaceutical Services,NYSE,USA,medicin,CDMO & pharma manufacturing,true,8
xyz,XYZ,Block,NYSE,USA,finans,Brokers & fintech,true,2
zbh,ZBH,Zimmer Biomet,NYSE,USA,medicin,Medtech & devices,true,1
zs,ZS,Zscaler,NASDAQ,USA,forsvar,Cloud security,true,0
zts,ZTS,Zoetis,NYSE,USA,medicin,Big pharma,true,1
